,B,RM,ZN,AGE,DIS,NOX,RAD,TAX,CHAS,CRIM,"B, RM","B, ZN",INDUS,LSTAT,"AGE, B","B, DIS","B, NOX","B, RAD","B, TAX","RM, ZN","AGE, RM","AGE, ZN","B, CHAS","B, CRIM","DIS, RM","DIS, ZN","NOX, RM","NOX, ZN",PTRATIO,"RAD, RM","RAD, ZN","RM, TAX","TAX, ZN","AGE, DIS","AGE, NOX","AGE, RAD","AGE, TAX","B, INDUS","B, LSTAT","CHAS, RM","CHAS, ZN","CRIM, RM","CRIM, ZN","DIS, NOX","DIS, RAD","DIS, TAX","NOX, RAD","NOX, TAX","RAD, TAX","AGE, CHAS","AGE, CRIM","B, RM, ZN","CHAS, DIS","CHAS, NOX","CHAS, RAD","CHAS, TAX","CRIM, DIS","CRIM, NOX","CRIM, RAD","CRIM, TAX","INDUS, RM","INDUS, ZN","LSTAT, RM","LSTAT, ZN","AGE, B, RM","AGE, B, ZN","AGE, INDUS","AGE, LSTAT","B, DIS, RM","B, DIS, ZN","B, NOX, RM","B, NOX, ZN","B, PTRATIO","B, RAD, RM","B, RAD, ZN","B, RM, TAX","B, TAX, ZN","CHAS, CRIM","DIS, INDUS","DIS, LSTAT","INDUS, NOX","INDUS, RAD","INDUS, TAX","LSTAT, NOX","LSTAT, RAD","LSTAT, TAX","AGE, B, DIS","AGE, B, NOX","AGE, B, RAD","AGE, B, TAX","AGE, RM, ZN","B, CHAS, RM","B, CHAS, ZN","B, CRIM, RM","B, CRIM, ZN","B, DIS, NOX","B, DIS, RAD","B, DIS, TAX","B, NOX, RAD","B, NOX, TAX","B, RAD, TAX","CHAS, INDUS","CHAS, LSTAT","CRIM, INDUS","CRIM, LSTAT","DIS, RM, ZN","NOX, RM, ZN","PTRATIO, RM","PTRATIO, ZN","RAD, RM, ZN","RM, TAX, ZN","AGE, B, CHAS","AGE, B, CRIM","AGE, DIS, RM","AGE, DIS, ZN","AGE, NOX, RM","AGE, NOX, ZN","AGE, PTRATIO","AGE, RAD, RM","AGE, RAD, ZN","AGE, RM, TAX","AGE, TAX, ZN","B, CHAS, DIS","B, CHAS, NOX","B, CHAS, RAD","B, CHAS, TAX","B, CRIM, DIS","B, CRIM, NOX","B, CRIM, RAD","B, CRIM, TAX","B, INDUS, RM","B, INDUS, ZN","B, LSTAT, RM","B, LSTAT, ZN","CHAS, RM, ZN","CRIM, RM, ZN","DIS, NOX, RM","DIS, NOX, ZN","DIS, PTRATIO","DIS, RAD, RM","DIS, RAD, ZN","DIS, RM, TAX","DIS, TAX, ZN","INDUS, LSTAT","NOX, PTRATIO","NOX, RAD, RM","NOX, RAD, ZN","NOX, RM, TAX","NOX, TAX, ZN","PTRATIO, RAD","PTRATIO, TAX","RAD, RM, TAX","RAD, TAX, ZN","AGE, B, INDUS","AGE, B, LSTAT","AGE, CHAS, RM","AGE, CHAS, ZN","AGE, CRIM, RM","AGE, CRIM, ZN","AGE, DIS, NOX","AGE, DIS, RAD","AGE, DIS, TAX","AGE, NOX, RAD","AGE, NOX, TAX","AGE, RAD, TAX","B, CHAS, CRIM","B, DIS, INDUS","B, DIS, LSTAT","B, INDUS, NOX","B, INDUS, RAD","B, INDUS, TAX","B, LSTAT, NOX","B, LSTAT, RAD","B, LSTAT, TAX","CHAS, DIS, RM","CHAS, DIS, ZN","CHAS, NOX, RM","CHAS, NOX, ZN","CHAS, PTRATIO","CHAS, RAD, RM","CHAS, RAD, ZN","CHAS, RM, TAX","CHAS, TAX, ZN","CRIM, DIS, RM","CRIM, DIS, ZN","CRIM, NOX, RM","CRIM, NOX, ZN","CRIM, PTRATIO","CRIM, RAD, RM","CRIM, RAD, ZN","CRIM, RM, TAX","CRIM, TAX, ZN","DIS, NOX, RAD","DIS, NOX, TAX","DIS, RAD, TAX","INDUS, RM, ZN","LSTAT, RM, ZN","NOX, RAD, TAX","AGE, CHAS, DIS","AGE, CHAS, NOX","AGE, CHAS, RAD","AGE, CHAS, TAX","AGE, CRIM, DIS","AGE, CRIM, NOX","AGE, CRIM, RAD","AGE, CRIM, TAX","AGE, INDUS, RM","AGE, INDUS, ZN","AGE, LSTAT, RM","AGE, LSTAT, ZN","B, CHAS, INDUS","B, CHAS, LSTAT","B, CRIM, INDUS","B, CRIM, LSTAT","B, PTRATIO, RM","B, PTRATIO, ZN","CHAS, CRIM, RM","CHAS, CRIM, ZN","CHAS, DIS, NOX","CHAS, DIS, RAD","CHAS, DIS, TAX","CHAS, NOX, RAD","CHAS, NOX, TAX","CHAS, RAD, TAX","CRIM, DIS, NOX","CRIM, DIS, RAD","CRIM, DIS, TAX","CRIM, NOX, RAD","CRIM, NOX, TAX","CRIM, RAD, TAX","DIS, INDUS, RM","DIS, INDUS, ZN","DIS, LSTAT, RM","DIS, LSTAT, ZN","INDUS, NOX, RM","INDUS, NOX, ZN","INDUS, PTRATIO","INDUS, RAD, RM","INDUS, RAD, ZN","INDUS, RM, TAX","INDUS, TAX, ZN","LSTAT, NOX, RM","LSTAT, NOX, ZN","LSTAT, PTRATIO","LSTAT, RAD, RM","LSTAT, RAD, ZN","LSTAT, RM, TAX","LSTAT, TAX, ZN","AGE, B, PTRATIO","AGE, CHAS, CRIM","AGE, DIS, INDUS","AGE, DIS, LSTAT","AGE, INDUS, NOX","AGE, INDUS, RAD","AGE, INDUS, TAX","AGE, LSTAT, NOX","AGE, LSTAT, RAD","AGE, LSTAT, TAX","B, DIS, PTRATIO","B, INDUS, LSTAT","B, NOX, PTRATIO","B, PTRATIO, RAD","B, PTRATIO, TAX","CHAS, CRIM, DIS","CHAS, CRIM, NOX","CHAS, CRIM, RAD","CHAS, CRIM, TAX","CHAS, INDUS, RM","CHAS, INDUS, ZN","CHAS, LSTAT, RM","CHAS, LSTAT, ZN","CRIM, INDUS, RM","CRIM, INDUS, ZN","CRIM, LSTAT, RM","CRIM, LSTAT, ZN","DIS, INDUS, NOX","DIS, INDUS, RAD","DIS, INDUS, TAX","DIS, LSTAT, NOX","DIS, LSTAT, RAD","DIS, LSTAT, TAX","INDUS, NOX, RAD","INDUS, NOX, TAX","INDUS, RAD, TAX","LSTAT, NOX, RAD","LSTAT, NOX, TAX","LSTAT, RAD, TAX","PTRATIO, RM, ZN","AGE, CHAS, INDUS","AGE, CHAS, LSTAT","AGE, CRIM, INDUS","AGE, CRIM, LSTAT","AGE, PTRATIO, RM","AGE, PTRATIO, ZN","B, CHAS, PTRATIO","B, CRIM, PTRATIO","CHAS, DIS, INDUS","CHAS, DIS, LSTAT","CHAS, INDUS, NOX","CHAS, INDUS, RAD","CHAS, INDUS, TAX","CHAS, LSTAT, NOX","CHAS, LSTAT, RAD","CHAS, LSTAT, TAX","CRIM, DIS, INDUS","CRIM, DIS, LSTAT","CRIM, INDUS, NOX","CRIM, INDUS, RAD","CRIM, INDUS, TAX","CRIM, LSTAT, NOX","CRIM, LSTAT, RAD","CRIM, LSTAT, TAX","DIS, PTRATIO, RM","DIS, PTRATIO, ZN","INDUS, LSTAT, RM","INDUS, LSTAT, ZN","NOX, PTRATIO, RM","NOX, PTRATIO, ZN","PTRATIO, RAD, RM","PTRATIO, RAD, ZN","PTRATIO, RM, TAX","PTRATIO, TAX, ZN","AGE, DIS, PTRATIO","AGE, INDUS, LSTAT","AGE, NOX, PTRATIO","AGE, PTRATIO, RAD","AGE, PTRATIO, TAX","B, INDUS, PTRATIO","B, LSTAT, PTRATIO","CHAS, CRIM, INDUS","CHAS, CRIM, LSTAT","CHAS, PTRATIO, RM","CHAS, PTRATIO, ZN","CRIM, PTRATIO, RM","CRIM, PTRATIO, ZN","DIS, INDUS, LSTAT","DIS, NOX, PTRATIO","DIS, PTRATIO, RAD","DIS, PTRATIO, TAX","INDUS, LSTAT, NOX","INDUS, LSTAT, RAD","INDUS, LSTAT, TAX","NOX, PTRATIO, RAD","NOX, PTRATIO, TAX","PTRATIO, RAD, TAX","AGE, CHAS, PTRATIO","AGE, CRIM, PTRATIO","CHAS, DIS, PTRATIO","CHAS, INDUS, LSTAT","CHAS, NOX, PTRATIO","CHAS, PTRATIO, RAD","CHAS, PTRATIO, TAX","CRIM, DIS, PTRATIO","CRIM, INDUS, LSTAT","CRIM, NOX, PTRATIO","CRIM, PTRATIO, RAD","CRIM, PTRATIO, TAX","INDUS, PTRATIO, RM","INDUS, PTRATIO, ZN","LSTAT, PTRATIO, RM","LSTAT, PTRATIO, ZN","AGE, INDUS, PTRATIO","AGE, LSTAT, PTRATIO","CHAS, CRIM, PTRATIO","DIS, INDUS, PTRATIO","DIS, LSTAT, PTRATIO","INDUS, NOX, PTRATIO","INDUS, PTRATIO, RAD","INDUS, PTRATIO, TAX","LSTAT, NOX, PTRATIO","LSTAT, PTRATIO, RAD","LSTAT, PTRATIO, TAX","CHAS, INDUS, PTRATIO","CHAS, LSTAT, PTRATIO","CRIM, INDUS, PTRATIO","CRIM, LSTAT, PTRATIO","INDUS, LSTAT, PTRATIO",
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
